NR_VOTAVEL;NM_VOTAVEL;NM_URNA;SG_PARTIDO;RESULTADO;TOTAL_VOTOS
45022;Dayse Ferreira Brand?o Rocha;Dayse Brand?o;PSDB;N?O ELEITO;18
29999;Roberta Rita Cavalcanti Pereira;Roberta Rita;PCO;N?O ELEITO;15
27670;Joel Andr? Soares De Souza;Joel Do Povo;DC;N?O ELEITO;14
27999;Maria Angelica Felix Dos Santos;Irm? Angelica;DC;N?O ELEITO;13
29000;Klever Jos? Da Silva Garrett;Jos? Da Silva;PCO;N?O ELEITO;13
33067;Lucia Maria Silva De Oliveira;Lucia Das Comidinhas;MOBILIZA;N?O ELEITO;10
33166;Roberia Surama Fernandes Pincho;Roberia Pincho;MOBILIZA;N?O ELEITO;7
33190;Mario Cesar Clementino De Souza;Mario Clementino;MOBILIZA;N?O ELEITO;7
33313;Adriana Souza Pinheiro;Drica Do Povo;MOBILIZA;N?O ELEITO;6
10045;Swamy Feitosa Ribas;Mi;REPUBLICANOS;SUPLENTE;4
45001;Raissa Isabelly Ferreira Vasconcelos Da Silva;Raissa Isabelly;PSDB;N?O ELEITO;2
27001;Jose Ricardo Das Neves;Ricardo Das Neves;DC;N?O ELEITO;1
33120;Maiara Cristina Nascimento Gouveia;Mission?ria Mayara;MOBILIZA;N?O ELEITO;0
