NR_VOTAVEL;NM_VOTAVEL;NM_URNA;SG_PARTIDO;RESULTADO;TOTAL_VOTOS
22777;Saulo Ataide De Oliveira;Mission?rio Saulo Ata?de;PL;SUPLENTE;287
30777;Ricardo Salas Roldan;Cap Salas;NOVO;SUPLENTE;286
22010;Edileuza Sobreira Viana Da Silva;Edileuza Sobreira;PL;SUPLENTE;285
10130;Josiane Gomes Da Silva;Josiane Da Sa?de;REPUBLICANOS;SUPLENTE;284
55255;Roberta Virginia De Santana Vasconcelos;Dra Roberta Virg?nia;PSD;SUPLENTE;281
11027;Flavio Lucena De Oliveira;Fl?vio Galego;PP;SUPLENTE;277
22050;Carmelinda Marques;Carmem De Areias;PL;SUPLENTE;273
11191;Jo?o Moraes Da Silva Filho;Jo?o Moraes;PP;SUPLENTE;272
15815;Rafaella Poliana Rafael Silva;Rafaella Rafael;MDB;SUPLENTE;272
10615;Josuel Cirilo Dos Santos;Irm?o Josu?;REPUBLICANOS;SUPLENTE;271
65700;Wokymon Ferreira Da Silva;Wokymon Da Sa?de;PC do B;SUPLENTE;269
30221;Carla De Oliveira Pinheiro Silva;Carla Pinheiro;NOVO;SUPLENTE;261
15678;Ivonete Correia De Oliveira;Ivonete Nanete;MDB;SUPLENTE;259
15700;Bruna Karina Anast?cia Gomes Da Silva;Bruna Karina;MDB;SUPLENTE;259
10234;Rosana De Lima Gai?o Da Silva;Mission?ria Rosana Lima;REPUBLICANOS;SUPLENTE;258
15550;Jose Cunto Guerreiro Neto;Neto Guerreiro;MDB;SUPLENTE;256
25321;Marcelus De Albuquerque Ugiette;Marcelus Ugiette;PRD;SUPLENTE;250
55678;Aldeleni Cabral Do Nascimento;Aldi Cabral;PSD;SUPLENTE;250
13500;Josuel Do Espirito Santo;Josuel Do Espirito Santo;PT;SUPLENTE;249
15133;Edvan Barbosa Gomes;Guarda Gentileza;MDB;SUPLENTE;248
70100;Paulo Sergio Da Silva;Irm?o Paulo;AVANTE;SUPLENTE;248
10666;Wandrizy Santos De Lima;Wandrizy De Manoel Messias;REPUBLICANOS;SUPLENTE;242
11113;Virginia Karla Rodrigues Dos Santos;Virg?nia Fotos;PP;SUPLENTE;239
70170;Cristian Douglas Pessoa De Araujo;Douglas Pessoa;AVANTE;SUPLENTE;239
15140;Jailza Christine Silva Reis;Irm? Jailza;MDB;SUPLENTE;238
65222;Fabio Araujo De Souza;Fabio Terra Samba;PC do B;SUPLENTE;238
27555;Idelvar Idelfonso Da Costa;Idelvar Vav?;DC;N?O ELEITO;236
70420;Marco Aurelio De Barros E Silva;Marco Smoke;AVANTE;SUPLENTE;236
43250;Alonso Ferreira De Ara?jo;Alonso Ferreira;PV;SUPLENTE;234
10510;Nadilene Pereira Ribeiro Da Silva;Nadilene Ribeiro;REPUBLICANOS;SUPLENTE;231
43500;C?u Ramos De Albuquerque;C?u Albuquerque;PV;SUPLENTE;231
15020;Deisivaldo Brazilino Soares;Neguete Do Povo;MDB;SUPLENTE;228
43444;Alexandre Pereira Da Silva;Xandy Alian?a Justi?a Social;PV;SUPLENTE;228
25051;Suegilson Benigno Dos Santos;Gilsinho Resenha Juntos;PRD;SUPLENTE;223
27987;Fernando De Oliveira Lima;Fernando Lima;DC;N?O ELEITO;223
70077;Ernando Coloia Ramos Junior;Ernando Coloia;AVANTE;SUPLENTE;223
10180;Janaina Alves Da Silva Costa;Janaina Nanai;REPUBLICANOS;SUPLENTE;220
70111;Redinildo Jose Da Silva;Red Da Farm?cia;AVANTE;SUPLENTE;218
50180;Luana Grasiela Ferreira Batista Dos Santos;Luana Consegue;PSOL;SUPLENTE;217
45789;Robeilton Severino De Lira;Robeilton Lira;PSDB;N?O ELEITO;213
45960;Nivaldo Lopes Dos Santos;Nivaldo Lopes;PSDB;N?O ELEITO;213
22210;Lindinaldo Tom? De Lima;Irm?o Nado;PL;SUPLENTE;212
30722;Wendel Luiz Lima Da Silva;Wendel Luiz;NOVO;SUPLENTE;210
55055;Marlon Henrique Da Silva Bomfim;Marlon Henrique;PSD;SUPLENTE;209
55090;Jorge Nunes Da Silva;Jorge Enfermeiro;PSD;SUPLENTE;209
10300;Robson Fernando Barbosa De Alcantara;Robinho Da Autoescola;REPUBLICANOS;SUPLENTE;208
